"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT21"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-01-26","5.59",,"0.00","0.0","0.0",,"70","48","   20","   20","14.1","15.0",,,,,,,,"    1",,,"    1","    1",,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-01-27","12.08",,"0.00","0.0","0.0",,"80","46","  180","  180","23.0","30.0","    1",,,,,,,,,,"    1",,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-01-28","14.99",,"0.00","0.0","0.0",,"78","69","  170","  170","28.0","34.9",,,,,,,,,,,,"    1",,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-01-29","15.66",,"0.02","0.0","0.0",,"85","58","  320","  330","29.1","42.9",,,"    1",,,,,,,,,"    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-01-30","10.74",,"0.00","0.0","0.0",,"60","30","  320","  300","23.9","36.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-01-31","5.82",,"0.00","0.0","0.0",,"69","26","  200","  200","17.9","25.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-01","7.38",,"0.00","0.0","0.0",,"72","35","  150","  150","19.9","25.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-02","4.03",,"0.00","0.0","0.0",,"77","35","   20","   20","16.1","21.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-03","6.49",,"0.00","0.0","0.0",,"72","36","  170","  170","16.1","21.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-04","6.49",,"0.00","0.0","0.0",,"76","48","  180","  180","19.9","23.9","    1",,,,,,,,,,"    1",,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-05","2.91",,"0.00","0.0","0.0",,"79","43","  350","  340","8.9","13.0","    1",,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-06","5.37",,"0.06","0.0","0.0",,"76","56","  140","  130","15.0","17.9","    1",,,,,,,,,,"    1",,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-07","8.95",,"0.00","0.0","0.0",,"82","60","  340","  360","23.9","32.0",,,,,,,,,,,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-08","9.62",,"0.00","0.0","0.0",,"70","45","  350","  360","23.9","32.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-09","10.07",,"0.03","0.0","0.0",,"69","52","  150","  150","21.9","28.0","    1",,,,,,,,,,"    1","    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-10","7.16",,"0.14","0.0","0.0",,"69","55","  320","  310","23.0","32.0","    1",,,,,,,,,,"    1","    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-11","9.40",,"0.35","0.0","0.0",,"58","50","   40","   40","21.0","23.9",,,"    1",,,,,,,,,"    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-12","7.16",,"0.02","0.0","0.0",,"72","51","  330","  340","21.0","25.9","    1",,,,,,,,,,"    1","    1",,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-13","8.95",,"0.00","0.0","0.0",,"64","36","  340","  320","21.9","30.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-14","6.04",,"0.00","0.0","0.0",,"71","29","  180","  200","14.1","21.0",,,,,,,,,,,,,,
